,Unnamed: 0,Ticker,Entry Time,Entry Price,Exit Time,Exit Price,P/L,ROR,Cumulative ROR,Peak ROR,Drawdown
0,1,BANKNIFTY09JUL2022800PE,08-07-2020 09:29,301.0,08-07-2020 13:15,163.5,-137.5,-91362.12624584718,-91362.12624584718,-91362.12624584718,0.0
1,2,BANKNIFTY09JUL2022700CE,09-07-2020 09:29,166.75,09-07-2020 10:34,162.5,-4.25,-5097.451274362818,-96459.57752020999,-91362.12624584718,-5097.451274362815
2,3,BANKNIFTY09JUL2022700PE,09-07-2020 09:29,147.0,09-07-2020 10:34,110.55,-36.45,-49591.83673469388,-146051.41425490388,-91362.12624584718,-54689.288009056705
3,4,BANKNIFTY16JUL2022700CE,10-07-2020 09:29,437.55,10-07-2020 15:24,295.1,-142.45,-65112.55856473546,-211163.97281963934,-91362.12624584718,-119801.84657379217
4,5,BANKNIFTY16JUL2022700PE,10-07-2020 09:29,403.15,10-07-2020 15:24,555.2,152.05000000000007,75430.98102443264,-135732.9917952067,-91362.12624584718,-44370.86554935953
5,6,BANKNIFTY16JUL2022600CE,13-07-2020 09:29,370.55,13-07-2020 11:11,229.35,-141.20000000000002,-76211.03764674134,-211944.02944194805,-91362.12624584718,-120581.90319610087
6,7,BANKNIFTY16JUL2022600PE,13-07-2020 09:29,356.5,13-07-2020 11:11,590.85,234.35000000000002,131472.65077138852,-80471.37867055953,-80471.37867055953,0.0
7,8,BANKNIFTY16JUL2021800CE,14-07-2020 09:29,314.65,14-07-2020 10:56,224.35,-90.29999999999998,-57397.10789766407,-137868.4865682236,-80471.37867055953,-57397.10789766407
8,9,BANKNIFTY16JUL2021800PE,14-07-2020 09:29,328.55,14-07-2020 10:56,513.65,185.09999999999997,112676.91371176379,-25191.57285645981,-25191.57285645981,0.0
9,10,BANKNIFTY16JUL2021600CE,15-07-2020 09:29,265.65,15-07-2020 12:03,329.25,63.60000000000002,47882.55223037834,22690.979373918526,22690.979373918526,0.0
10,11,BANKNIFTY16JUL2021600PE,15-07-2020 09:29,298.3,15-07-2020 12:03,173.3,-125.0,-83808.24673147837,-61117.267357559846,22690.979373918526,-83808.24673147837
